Question Number,Answer
1,A
2,B
3,C
4,D
5,A
6,B,C
7,A,B,D
8,25.5
9,15
10,A
11,B
12,C
13,D
14,A,C
15,30.75
16,A
17,B
18,C
19,D
20,A
21,A,B
22,B,C,D
23,A,C
24,45
25,12.5
26,A
27,B
28,C
29,D
30,A
31,B
32,C
33,D
34,A
35,B
36,A,B
37,C,D
38,A,B,C
39,20
40,35.25
41,A
42,B
43,C
44,D
45,A
46,B,C
47,A,D
48,B,C,D
49,50
50,8.75
51,A
52,B
53,C
54,D
55,A
56,A,B
57,C,D
58,A,B,C
59,75
60,22.5
61,A
62,B
63,C
64,D
65,A
66,B,C
67,A,D
68,B,C,D
69,100
70,15.25
71,A
72,B
73,C
74,D
75,A
76,A,B
77,C,D
78,A,B,C
79,90
80,45.5
81,A,B
82,B,C
83,A,C
84,A,B,D
85,B,C,D
86,125
87,67.25
88,85
89,33.75
90,150